Date,Visits,UniqueVisitors,Pageviews
2019-01-01,15576,14286,63516
2019-01-02,11931,10654,50168
2019-01-03,11780,10499,54838
2019-01-04,14661,13184,65046
2019-01-05,16782,14872,77209
2019-01-06,11923,10713,51120
2019-01-07,10453,9218,47320
2019-01-08,10251,8905,47149
2019-01-09,12376,10845,57052
2019-01-10,11411,9934,52688
2019-01-11,15558,13758,67916
2019-01-12,16246,14527,66608
2019-01-13,11989,10761,48848
2019-01-14,20264,18047,110333
2019-01-15,19023,16904,101011
2019-01-16,14558,12638,74501
2019-01-17,14410,12600,73001
2019-01-18,19079,17005,94676
2019-01-19,18741,16850,85398
2019-01-20,14033,12626,62632
2019-01-21,12026,10416,60570
2019-01-22,11716,10078,56204
2019-01-23,11528,9941,56646
2019-01-24,12527,10781,61894
2019-01-25,16830,14861,78708
2019-01-26,18036,16233,80901
2019-01-27,13513,12247,59665
2019-01-28,12697,11000,58450
2019-01-29,11300,9743,54226
2019-01-30,13028,11213,64312
2019-01-31,13754,11926,66161
2019-02-01,17943,16305,78807
2019-02-02,18067,16256,81859
2019-02-03,14233,12696,65873
2019-02-04,13738,12203,64248
2019-02-05,12663,11051,66690
2019-02-06,12936,11451,63833
2019-02-07,13108,11497,66438
2019-02-08,17318,15516,81810
2019-02-09,18358,16448,82665
2019-02-10,14152,12630,64060
2019-02-11,12150,10746,59346
2019-02-12,11952,10568,58075
2019-02-13,12206,10771,60931
2019-02-14,13434,11833,63140
2019-02-15,15355,13595,70861
2019-02-16,16706,14733,72918
2019-02-17,12683,11313,52480
2019-02-18,11110,9595,53747
2019-02-19,11475,9759,58045
2019-02-20,18187,15950,117786
2019-02-21,13646,11706,70930
2019-02-22,15448,13475,76557
2019-02-23,15892,14057,70333
2019-02-24,14529,12913,64591
2019-02-25,13439,11710,61987
2019-02-26,11484,9743,54841
2019-02-27,11480,9781,56521
2019-02-28,14101,12337,60151
2019-03-01,22121,20035,82256
2019-03-02,19601,17879,78219
2019-03-03,15021,13599,62288
2019-03-04,12250,10585,56994
2019-03-05,12038,10309,58023
2019-03-06,11866,10206,56310
2019-03-07,11270,9548,54590
2019-03-08,15807,13865,76353
2019-03-09,16657,15043,72427
2019-03-10,13996,12552,61141
2019-03-11,12552,10473,60227
2019-03-12,12206,10180,59689
2019-03-13,11977,9971,56835
2019-03-14,12995,10837,65224
2019-03-15,16208,13820,77259
2019-03-16,17678,15821,84546
2019-03-17,13720,12456,63359
2019-03-18,12143,9991,58974
2019-03-19,11887,10022,57006
2019-03-20,12467,10606,62491
2019-03-21,13306,11745,63661
2019-03-22,14764,13058,72390
2019-03-23,16258,14596,67958
2019-03-24,12969,11481,54533
2019-03-25,11216,9752,49934
2019-03-26,12222,10518,54634
2019-03-27,11965,10266,54519
2019-03-28,12348,10553,56565
2019-03-29,14940,13210,66787
2019-03-30,15346,13749,63428
2019-03-31,13961,12476,59016
2019-04-01,12749,11116,57419
2019-04-02,12480,10683,56852
2019-04-03,12311,10545,55106
2019-04-04,19598,17434,94425
2019-04-05,16986,14924,76846
2019-04-06,15326,13602,64704
2019-04-07,13425,12014,57221
2019-04-08,12117,10401,56143
2019-04-09,11739,9932,54453
2019-04-10,11869,10128,53816
2019-04-11,11602,10006,52862
2019-04-12,14509,12688,66179
2019-04-13,15048,13505,65822
2019-04-14,13249,11890,57898
2019-04-15,11525,9828,52806
2019-04-16,11659,9905,53329
2019-04-17,11355,9606,50790
2019-04-18,13489,11335,63505
2019-04-19,15323,13461,76758
2019-04-20,12837,11411,58540
2019-04-21,12389,11087,53291
2019-04-22,14085,12292,63061
2019-04-23,12417,10593,61395
2019-04-24,13405,11247,66405
2019-04-25,14334,12104,74076
2019-04-26,17445,15159,83955
2019-04-27,19640,17478,92421
2019-04-28,16444,14387,80872
2019-04-29,14704,12676,71582
2019-04-30,13779,11914,67209
2019-05-01,14997,12946,71005
2019-05-02,15175,13067,73463
2019-05-03,18489,16351,83971
2019-05-04,18474,16703,79068
2019-05-05,16527,14743,69907
