Date,Visits,UniqueVisitors,Pageviews
2019-05-06,14895,13251,65843
2019-05-07,11846,10375,53267
2019-05-08,12214,10568,59067
2019-05-09,12912,11128,59854
2019-05-10,15700,13712,70304
2019-05-11,15877,14132,69046
2019-05-12,12157,10895,50061
2019-05-13,11101,9555,47642
2019-05-14,10609,9030,48411
2019-05-15,10441,8911,47110
2019-05-16,11043,9421,50333
2019-05-17,15235,13460,68716
2019-05-18,15942,14316,68682
2019-05-19,12401,11118,51737
2019-05-20,11217,9651,49617
2019-05-21,12448,10758,52540
2019-05-22,11081,9496,48006
2019-05-23,10754,9268,47398
2019-05-24,13390,11874,59132
2019-05-25,13150,11809,53369
2019-05-26,13715,12299,58895
2019-05-27,13289,11721,57320
2019-05-28,11732,9949,51988
2019-05-29,12284,10480,55225
2019-05-30,11665,9980,51271
2019-05-31,13749,11829,59519
2019-06-01,14182,12620,58001
2019-06-02,13655,12372,56288
2019-06-03,11537,9962,50771
2019-06-04,11287,9640,50129
2019-06-05,11403,9774,51624
2019-06-06,11186,9620,48739
2019-06-07,15890,13922,69160
2019-06-08,15546,13857,67191
2019-06-09,12225,11000,49439
2019-06-10,11063,9509,48105
2019-06-11,12109,10365,55947
2019-06-12,11361,9672,50337
2019-06-13,12714,10889,59326
2019-06-14,15094,13087,69858
2019-06-15,14849,13196,63631
2019-06-16,14208,12620,61939
2019-06-17,11879,10193,53235
2019-06-18,11286,9717,56485
2019-06-19,11480,9743,58937
2019-06-20,14186,12269,96196
2019-06-21,14324,12712,66485
2019-06-22,12991,11577,63353
2019-06-23,12185,10752,53311
2019-06-24,10860,9278,58422
2019-06-25,14235,12260,75959
2019-06-26,25410,22152,146272
2019-06-27,20418,17583,123716
2019-06-28,17110,14779,79595
2019-06-29,14242,12451,61385
2019-06-30,14732,13069,70972
2019-07-01,14275,12613,67058
2019-07-02,12570,10598,63206
2019-07-03,12074,10200,54087
2019-07-04,12911,11008,61655
2019-07-05,15887,13656,69780
2019-07-06,15825,13772,66927
2019-07-07,14669,12988,61490
2019-07-08,14821,12593,64192
2019-07-09,13341,11122,57953
2019-07-10,12910,10936,57160
2019-07-11,13094,11010,65420
2019-07-12,15461,13429,72310
2019-07-13,15107,13115,61282
2019-07-14,12628,11108,47667
2019-07-15,13235,11061,55491
2019-07-16,16875,14420,70992
2019-07-17,17185,14585,68558
2019-07-18,14965,12641,61601
2019-07-19,17739,15319,73195
2019-07-20,15721,13827,59679
2019-07-21,12952,11421,49203
2019-07-22,12385,10558,50711
2019-07-23,11445,9665,46839
2019-07-24,11533,9721,45554
2019-07-25,12100,10384,46743
2019-07-26,15692,13649,60584
2019-07-27,18893,16825,68917
2019-07-28,15641,13924,55853
2019-07-29,13373,11524,52518
2019-07-30,14140,12139,53922
2019-07-31,14135,12164,56070
2019-08-01,15238,13166,58770
2019-08-02,17103,14917,64138
2019-08-03,15892,14153,57720
2019-08-04,15265,13578,52935
2019-08-05,13630,11736,52330
2019-08-06,13672,11828,54439
2019-08-07,13481,11574,52391
2019-08-08,13471,11429,55602
2019-08-09,16652,14565,63970
2019-08-10,17791,15604,66255
2019-08-11,15414,13527,55188
2019-08-12,14574,12689,59883
2019-08-13,13241,11235,52236
2019-08-14,14010,11827,55075
2019-08-15,13446,11375,53973
2019-08-16,18748,16543,75006
2019-08-17,16694,14927,62398
2019-08-18,14789,13140,54173
2019-08-19,13575,11698,52617
2019-08-20,13416,11387,49974
2019-08-21,13741,11754,54893
2019-08-22,13787,11733,56199
2019-08-23,15317,13354,56824
2019-08-24,15017,13314,56288
2019-08-25,13893,12572,51043
2019-08-26,14508,12727,51440
2019-08-27,13513,11548,50901
2019-08-28,13606,11773,53598
2019-08-29,13971,11964,54120
2019-08-30,16996,14864,62990
2019-08-31,17275,15510,59157
2019-09-01,16032,14338,53133
2019-09-02,14161,12355,54486
2019-09-03,13767,11925,52494
2019-09-04,13368,11467,51756
2019-09-05,13192,11287,49436
2019-09-06,17638,15487,66885
2019-09-07,18249,16332,63666
2019-09-08,14731,13203,50463
2019-09-09,13963,11888,55836
2019-09-10,15509,13353,57917
2019-09-11,14708,12389,55651
2019-09-12,14518,12360,54293
2019-09-13,17052,14814,61222
2019-09-14,18645,16747,62327
2019-09-15,15657,14000,52955
2019-09-16,13689,11638,52847
2019-09-17,13259,11215,49207
2019-09-18,14729,12532,58086
2019-09-19,14978,12763,58792
2019-09-20,17952,15686,68646
2019-09-21,19494,17589,66237
2019-09-22,16840,14935,57842
2019-09-23,18357,16219,85221
2019-09-24,14360,12411,59260
2019-09-25,13664,11558,55978
2019-09-26,14836,12817,58928
2019-09-27,19045,16706,69545
2019-09-28,19561,17470,66840
2019-09-29,16927,15378,62956
2019-09-30,15047,13149,57463
2019-10-01,15974,13950,58369
2019-10-02,13621,11829,52097
2019-10-03,13480,11659,55380
2019-10-04,19667,17550,80791
2019-10-05,23760,21295,99325
2019-10-06,16997,15214,60314
2019-10-07,14653,12638,58481
2019-10-08,14312,12238,59129
2019-10-09,14705,12882,56843
2019-10-10,14062,12255,53883
2019-10-11,18165,16066,68954
2019-10-12,19583,17743,68418
2019-10-13,6380,5739,21920
2019-10-14,14195,12339,53816
2019-10-15,14229,12243,55584
2019-10-16,16734,14387,70850
2019-10-17,15717,13705,58043
2019-10-18,19772,17449,71951
2019-10-19,20622,18503,68365
2019-10-20,16423,14901,54740
2019-10-21,14964,13021,57001
2019-10-22,16664,14462,64940
2019-10-23,17462,15239,68600
2019-10-24,18557,16146,71346
2019-10-25,22714,20052,82828
2019-10-26,23482,21244,80609
2019-10-27,17718,16088,57951
2019-10-28,15297,13565,60021
2019-10-29,15923,13787,61705
2019-10-30,15281,13273,59619
2019-10-31,16043,13991,61163
2019-11-01,21968,19699,77928
2019-11-02,21826,19645,74008
2019-11-03,17689,16081,59386
2019-11-04,16596,14584,67397
2019-11-05,16945,14808,64748
2019-11-06,15814,13873,59701
2019-11-07,16123,13973,61702
2019-11-08,21993,19419,86673
2019-11-09,22345,20142,78122
2019-11-10,16358,14749,54734
2019-11-11,15531,13409,63396
2019-11-12,15087,13090,61121
2019-11-13,15411,13402,66254
2019-11-14,15616,13611,63627
2019-11-15,19502,17067,74243
2019-11-16,21913,19842,77884
2019-11-17,17637,15807,61067
2019-11-18,14119,12156,54767
2019-11-19,14215,12139,56945
2019-11-20,14473,12510,59145
2019-11-21,14503,12708,56872
2019-11-22,19977,17584,77755
2019-11-23,20081,18079,68791
2019-11-24,15719,14190,51069
2019-11-25,13869,11909,55057
2019-11-26,13750,11888,56164
2019-11-27,14419,12373,59086
2019-11-28,14403,12308,54999
2019-11-29,17806,15705,62190
2019-11-30,18930,16996,58774
2019-12-01,15986,14704,47484
2019-12-02,15919,13997,58629
2019-12-03,15563,13537,56681
2019-12-04,15260,13496,54985
2019-12-05,15272,13149,53422
2019-12-06,19037,16726,65898
2019-12-07,18999,17180,58419
2019-12-08,16539,15044,49670
2019-12-09,13831,11905,52473
2019-12-10,14575,12684,53238
2019-12-11,13929,11943,50792
2019-12-12,13889,12014,49037
2019-12-13,16815,14803,57180
2019-12-14,17935,16218,56662
2019-12-15,14669,13229,45532
2019-12-16,14250,11435,53862
2019-12-17,13973,12091,49247
2019-12-18,13909,11980,49292
2019-12-19,15254,13217,57469
2019-12-20,17197,15229,64669
2019-12-21,16981,15364,52814
2019-12-22,14456,13128,45293
2019-12-23,14378,12739,61743
2019-12-24,14049,12653,51614
2019-12-25,6930,6097,21837
2019-12-26,12177,10932,38688
2019-12-27,17324,15586,59294
2019-12-28,18259,16435,65330
2019-12-29,17486,15899,59158
2019-12-30,18443,16431,69145
2019-12-31,19097,17132,66107
