Date,Visits,Visitors,Pageviews
2017-07-18,8337,7489,38876
2017-07-19,7624,6769,38198
2017-07-20,7431,6511,37279
2017-07-21,8786,7900,44368
2017-07-22,9245,8482,45934
2017-07-23,8182,7450,39339
2017-07-24,7601,6679,36289
2017-07-25,7728,6871,38048
2017-07-26,8217,7421,43074
2017-07-27,8015,7130,42099
2017-07-28,8920,7892,47140
2017-07-29,9249,8487,41751
2017-07-30,8147,7382,36649
2017-07-31,7993,7104,37850
2017-08-01,12589,10991,69075
2017-08-02,9573,8600,47766
2017-08-03,8699,7704,44471
2017-08-04,9510,8455,47075
2017-08-05,8945,8065,42727
2017-08-06,8130,7428,37213
2017-08-07,7606,6697,37930
2017-08-08,8148,7164,42769
2017-08-09,8307,7377,42713
2017-08-10,7465,6571,39154
2017-08-11,8985,8001,47023
2017-08-12,9307,8457,42535
2017-08-13,7339,6697,32959
2017-08-14,8316,7290,40489
2017-08-15,7260,6496,34418
2017-08-16,7505,6563,39129
2017-08-17,7589,6757,39222
2017-08-18,8918,8009,44861
2017-08-19,9124,8247,46758
2017-08-20,9230,8447,41878
2017-08-21,7545,6638,40630
2017-08-22,7882,6947,42646
2017-08-23,8009,7107,44087
2017-08-24,7751,6875,41078
2017-08-25,8446,7697,41481
2017-08-26,17547,16723,52861
2017-08-27,12642,11909,47419
2017-08-28,9516,8801,45596
2017-08-29,7767,6974,40181
2017-08-30,7821,6950,42466
2017-08-31,7664,6807,39931
2017-09-01,10055,9004,50287
2017-09-02,9469,8590,45642
2017-09-03,9021,8120,42147
2017-09-04,7328,6468,37703
2017-09-05,7174,6362,37681
2017-09-06,6957,6149,33409
2017-09-07,7415,6571,36618
2017-09-08,9508,8551,46440
2017-09-09,17626,15759,109196
2017-09-10,7079,6425,32657
2017-09-11,9746,8581,48492
2017-09-12,7525,6625,39931
2017-09-13,7209,6262,35649
2017-09-14,7695,6759,40424
2017-09-15,9764,8873,49977
2017-09-16,9582,8683,46074
2017-09-17,7846,7147,36483
2017-09-18,7734,6856,39168
2017-09-19,7584,6719,37411
2017-09-20,7749,6796,36905
2017-09-21,8095,7133,36588
2017-09-22,19334,16552,101551
2017-09-23,11459,10143,56593
2017-09-24,8823,8053,41894
2017-09-25,10481,9220,62195
2017-09-26,8913,7819,49270
2017-09-27,8678,7605,45359
2017-09-28,10866,9781,58655
2017-09-29,12648,11405,67230
2017-09-30,12277,11217,59737
2017-10-01,10705,9783,49870
2017-10-02,8925,8003,42981
2017-10-03,8941,8020,44290
2017-10-04,10007,8854,45388
2017-10-05,9497,8439,46172
2017-10-06,11058,10059,53685
2017-10-07,11793,10667,53848
2017-10-08,8603,7852,39130
2017-10-09,8420,7492,42041
2017-10-10,8575,7579,42237
2017-10-11,8644,7721,43217
2017-10-12,8165,7221,40708
2017-10-13,10384,9329,49757
2017-10-14,10835,9852,50539
2017-10-15,8846,8024,39577
2017-10-16,7606,6759,38220
2017-10-17,7700,6859,39335
2017-10-18,7751,6807,39151
2017-10-19,9062,8055,44355
2017-10-20,11609,10251,58864
2017-10-21,11324,10273,52678
2017-10-22,11037,10070,54012
2017-10-23,9183,8181,44304
2017-10-24,8858,7887,41342
2017-10-25,8642,7673,43152
2017-10-26,10622,9445,55703
2017-10-27,10597,9555,51924
2017-10-28,9892,8895,47098
2017-10-29,8772,7920,40258
2017-10-30,8048,7100,39577
2017-10-31,8986,8074,42346
2017-11-01,9170,8239,43284
2017-11-02,9176,8299,48353
2017-11-03,10267,9182,49996
2017-11-04,9861,8886,46073
2017-11-05,7996,7271,34676
2017-11-06,19596,17706,114074
2017-11-07,16340,14600,106249
2017-11-08,11388,10011,61123
2017-11-09,10222,9068,53699
2017-11-10,11530,10314,57942
2017-11-11,11929,10721,57823
2017-11-12,9305,8378,45027
2017-11-13,8687,7614,46088
2017-11-14,10853,9607,58024
2017-11-15,9970,8778,49587
2017-11-16,9644,8459,46369
2017-11-17,10743,9553,51854
2017-11-18,11151,10279,48787
2017-11-19,9033,8147,44276
2017-11-20,8853,7923,43359
2017-11-21,8486,7447,39134
2017-11-22,7772,6857,35866
2017-11-23,7932,6866,37157
2017-11-24,9767,8736,47129
2017-11-25,10148,9266,45804
2017-11-26,8173,7426,37585
2017-11-27,7597,6686,36065
2017-11-28,7657,6789,35732
2017-11-29,7292,6363,34469
2017-11-30,7455,6613,34685
2017-12-01,9819,8967,42530
2017-12-02,10531,9652,45913
2017-12-03,8333,7502,36037
2017-12-04,8455,7481,37934
2017-12-05,7898,7068,35511
2017-12-06,8233,7184,39040
2017-12-07,8046,7134,39151
2017-12-08,9742,8729,46367
2017-12-09,9988,8948,44603
2017-12-10,7922,7218,33612
2017-12-11,7368,6554,34458
2017-12-12,7346,6455,35358
2017-12-13,7665,6722,35021
2017-12-14,7964,7065,37750
2017-12-15,9794,8813,43480
2017-12-16,9356,8383,39295
2017-12-17,7987,7290,33765
2017-12-18,7671,6766,35719
2017-12-19,7714,6857,35733
2017-12-20,7992,7167,36182
2017-12-21,7757,6952,35089
2017-12-22,7788,7057,35157
2017-12-23,8124,7291,33782
2017-12-24,6502,5901,25471
2017-12-25,3145,2838,12295
2017-12-26,5648,5169,24550
2017-12-27,7980,7299,34472
2017-12-28,8469,7557,39754
2017-12-29,9898,8883,47699
2017-12-30,10440,9491,47503
2017-12-31,10071,9096,46672
